ip,reclat,reclong
"172.16.224.2",40.7317,-73.9885
"128.122.1.4",40.7317,-73.9885
"128.122.254.114",40.7317,-73.9885
"64.86.62.13",38.9268,-76.7118
"63.243.128.25",41.677,-73.8619
"63.243.128.122",41.677,-73.8619
"72.14.195.232",37.4192,-122.0574
"128.122.1.65",40.7317,-73.9885
"209.58.75.217",35.4198,-80.6748
"192.76.177.202",40.7317,-73.9885
"128.122.254.68",40.7317,-73.9885
"216.6.90.72",38.9266,-77.3936
"128.122.254.109",40.7317,-73.9885
"108.170.226.205",37.4192,-122.0574
"172.217.12.196",26.937,-80.135